PA_Score,images,filename,live_fake,cross_direct,eye,gender,subjectid
0.0404487353811401,"['190412_102_AD100/2019_102_001_Left_L1_0.png', '190412_102_AD100/2019_102_001_Left_R2_0.png']",190412_102_AD100/2019_102_001_Left_L1_0.png,live,"['direct', 'cross2']",Left,Male,0
0.0519223802742595,"['190412_102_AD100/2019_102_001_Left_L1_1.png', '190412_102_AD100/2019_102_001_Left_R2_1.png']",190412_102_AD100/2019_102_001_Left_L1_1.png,live,"['direct', 'cross2']",Left,Male,0
0.048625325799835,"['190412_102_AD100/2019_102_001_Left_L1_2.png', '190412_102_AD100/2019_102_001_Left_R2_2.png']",190412_102_AD100/2019_102_001_Left_L1_2.png,live,"['direct', 'cross2']",Left,Male,0
0.0451647062604667,"['190412_102_AD100/2019_102_001_Left_L1_3.png', '190412_102_AD100/2019_102_001_Left_R2_3.png']",190412_102_AD100/2019_102_001_Left_L1_3.png,live,"['direct', 'cross2']",Left,Male,0
0.0518148919287229,"['190412_102_AD100/2019_102_001_Left_L1_4.png', '190412_102_AD100/2019_102_001_Left_R2_4.png']",190412_102_AD100/2019_102_001_Left_L1_4.png,live,"['direct', 'cross2']",Left,Male,0
0.0730605620054768,"['190412_102_AD100/2019_102_002_Left_L1_0.png', '190412_102_AD100/2019_102_002_Left_R2_0.png']",190412_102_AD100/2019_102_002_Left_L1_0.png,fake,"['direct', 'cross2']",Left,Male,0
0.0619053900910287,"['190412_102_AD100/2019_102_002_Left_L1_1.png', '190412_102_AD100/2019_102_002_Left_R2_1.png']",190412_102_AD100/2019_102_002_Left_L1_1.png,fake,"['direct', 'cross2']",Left,Male,0
0.0597133026517267,"['190412_102_AD100/2019_102_002_Left_L1_2.png', '190412_102_AD100/2019_102_002_Left_R2_2.png']",190412_102_AD100/2019_102_002_Left_L1_2.png,fake,"['direct', 'cross2']",Left,Male,0
0.060603985021175,"['190412_102_AD100/2019_102_002_Left_L1_3.png', '190412_102_AD100/2019_102_002_Left_R2_3.png']",190412_102_AD100/2019_102_002_Left_L1_3.png,fake,"['direct', 'cross2']",Left,Male,0
0.0723163336822514,"['190412_102_AD100/2019_102_002_Left_L1_4.png', '190412_102_AD100/2019_102_002_Left_R2_4.png']",190412_102_AD100/2019_102_002_Left_L1_4.png,fake,"['direct', 'cross2']",Left,Male,0
0.0966467699461547,"['190412_102_AD100/2019_102_004_Left_L1_0.png', '190412_102_AD100/2019_102_004_Left_R2_0.png']",190412_102_AD100/2019_102_004_Left_L1_0.png,fake,"['direct', 'cross2']",Left,Female,1
0.0574488054835012,"['190412_102_AD100/2019_102_004_Left_L1_1.png', '190412_102_AD100/2019_102_004_Left_R2_1.png']",190412_102_AD100/2019_102_004_Left_L1_1.png,fake,"['direct', 'cross2']",Left,Female,1
0.0844750841346415,"['190412_102_AD100/2019_102_004_Left_L1_2.png', '190412_102_AD100/2019_102_004_Left_R2_2.png']",190412_102_AD100/2019_102_004_Left_L1_2.png,fake,"['direct', 'cross2']",Left,Female,1
0.0696842106232069,"['190412_102_AD100/2019_102_004_Left_L1_3.png', '190412_102_AD100/2019_102_004_Left_R2_3.png']",190412_102_AD100/2019_102_004_Left_L1_3.png,fake,"['direct', 'cross2']",Left,Female,1
0.0394745311952404,"['190412_102_AD100/2019_102_003_Left_L1_0.png', '190412_102_AD100/2019_102_003_Left_R2_0.png']",190412_102_AD100/2019_102_003_Left_L1_0.png,live,"['direct', 'cross2']",Left,Female,1
0.0700233623383828,"['190412_102_AD100/2019_102_003_Left_L1_1.png', '190412_102_AD100/2019_102_003_Left_R2_1.png']",190412_102_AD100/2019_102_003_Left_L1_1.png,live,"['direct', 'cross2']",Left,Female,1
0.0224949623524864,"['190412_102_AD100/2019_102_003_Left_L1_2.png', '190412_102_AD100/2019_102_003_Left_R2_2.png']",190412_102_AD100/2019_102_003_Left_L1_2.png,live,"['direct', 'cross2']",Left,Female,1
0.0558479977273756,"['190412_102_AD100/2019_102_003_Left_L1_3.png', '190412_102_AD100/2019_102_003_Left_R2_3.png']",190412_102_AD100/2019_102_003_Left_L1_3.png,live,"['direct', 'cross2']",Left,Female,1
0.0633183045400253,"['190412_102_AD100/2019_102_003_Left_L1_4.png', '190412_102_AD100/2019_102_003_Left_R2_4.png']",190412_102_AD100/2019_102_003_Left_L1_4.png,live,"['direct', 'cross2']",Left,Female,1
0.088098751169681,"['190416_106_AD100/2019_106_010_Left_L1_1.png', '190416_106_AD100/2019_106_010_Left_R2_1.png']",190416_106_AD100/2019_106_010_Left_L1_1.png,fake,"['direct', 'cross2']",Left,Female,10
0.0842861487428747,"['190416_106_AD100/2019_106_010_Left_L1_2.png', '190416_106_AD100/2019_106_010_Left_R2_2.png']",190416_106_AD100/2019_106_010_Left_L1_2.png,fake,"['direct', 'cross2']",Left,Female,10
0.0592195319668587,"['190416_106_AD100/2019_106_010_Left_L1_3.png', '190416_106_AD100/2019_106_010_Left_R2_3.png']",190416_106_AD100/2019_106_010_Left_L1_3.png,fake,"['direct', 'cross2']",Left,Female,10
0.0917047000331188,"['190416_106_AD100/2019_106_010_Left_L1_4.png', '190416_106_AD100/2019_106_010_Left_R2_4.png']",190416_106_AD100/2019_106_010_Left_L1_4.png,fake,"['direct', 'cross2']",Left,Female,10
0.0724418791503766,"['190416_106_AD100/2019_106_009_Left_L1_0.png', '190416_106_AD100/2019_106_009_Left_R2_0.png']",190416_106_AD100/2019_106_009_Left_L1_0.png,live,"['direct', 'cross2']",Left,Female,10
0.0639687756319165,"['190416_106_AD100/2019_106_009_Left_L1_1.png', '190416_106_AD100/2019_106_009_Left_R2_1.png']",190416_106_AD100/2019_106_009_Left_L1_1.png,live,"['direct', 'cross2']",Left,Female,10
0.0654537152078093,"['190416_106_AD100/2019_106_009_Left_L1_2.png', '190416_106_AD100/2019_106_009_Left_R2_2.png']",190416_106_AD100/2019_106_009_Left_L1_2.png,live,"['direct', 'cross2']",Left,Female,10
0.0520207487528258,"['190416_106_AD100/2019_106_009_Left_L1_3.png', '190416_106_AD100/2019_106_009_Left_R2_3.png']",190416_106_AD100/2019_106_009_Left_L1_3.png,live,"['direct', 'cross2']",Left,Female,10
0.0565549376819758,"['190416_106_AD100/2019_106_009_Left_L1_4.png', '190416_106_AD100/2019_106_009_Left_R2_4.png']",190416_106_AD100/2019_106_009_Left_L1_4.png,live,"['direct', 'cross2']",Left,Female,10
0.0614336426542208,"['190416_106_AD100/2019_106_012_Left_L1_0.png', '190416_106_AD100/2019_106_012_Left_R2_0.png']",190416_106_AD100/2019_106_012_Left_L1_0.png,fake,"['direct', 'cross2']",Left,Male,11
0.0443756073630978,"['190416_106_AD100/2019_106_012_Left_L1_1.png', '190416_106_AD100/2019_106_012_Left_R2_1.png']",190416_106_AD100/2019_106_012_Left_L1_1.png,fake,"['direct', 'cross2']",Left,Male,11
0.047633143371267,"['190416_106_AD100/2019_106_012_Left_L1_2.png', '190416_106_AD100/2019_106_012_Left_R2_2.png']",190416_106_AD100/2019_106_012_Left_L1_2.png,fake,"['direct', 'cross2']",Left,Male,11
0.0727028442861263,"['190416_106_AD100/2019_106_012_Left_L1_3.png', '190416_106_AD100/2019_106_012_Left_R2_3.png']",190416_106_AD100/2019_106_012_Left_L1_3.png,fake,"['direct', 'cross2']",Left,Male,11
0.0743245893238564,"['190416_106_AD100/2019_106_012_Left_L1_4.png', '190416_106_AD100/2019_106_012_Left_R2_4.png']",190416_106_AD100/2019_106_012_Left_L1_4.png,fake,"['direct', 'cross2']",Left,Male,11
0.0720121245697697,"['190416_106_AD100/2019_106_011_Left_L1_1.png', '190416_106_AD100/2019_106_011_Left_R2_1.png']",190416_106_AD100/2019_106_011_Left_L1_1.png,live,"['direct', 'cross2']",Left,Male,11
0.0290607620056257,"['190416_106_AD100/2019_106_011_Left_L1_2.png', '190416_106_AD100/2019_106_011_Left_R2_2.png']",190416_106_AD100/2019_106_011_Left_L1_2.png,live,"['direct', 'cross2']",Left,Male,11
0.0598342660375612,"['190416_106_AD100/2019_106_011_Left_L1_3.png', '190416_106_AD100/2019_106_011_Left_R2_3.png']",190416_106_AD100/2019_106_011_Left_L1_3.png,live,"['direct', 'cross2']",Left,Male,11
0.0359696652920181,"['190416_106_AD100/2019_106_011_Left_L1_4.png', '190416_106_AD100/2019_106_011_Left_R2_4.png']",190416_106_AD100/2019_106_011_Left_L1_4.png,live,"['direct', 'cross2']",Left,Male,11
