image_location,label
/bxgrid/50/1193029.png,1
/bxgrid/47/1149384.png,1
/bxgrid/17/528172.png,1
/bxgrid/17/528190.png,1
/bxgrid/49/1180347.png,1
/bxgrid/49/1178624.png,1
/bxgrid/49/1177618.png,1
/bxgrid/50/1181107.png,1
/bxgrid/48/1154085.png,1
/bxgrid/50/1195425.png,1
/bxgrid/50/1195316.png,1
/bxgrid/48/1156433.png,1
/bxgrid/49/1177679.png,1
/bxgrid/49/1178675.png,1
/bxgrid/50/1195298.png,1
/bxgrid/47/1150726.png,1
/bxgrid/49/1179495.png,1
/bxgrid/50/1183394.png,1
/bxgrid/48/1157983.png,1
/bxgrid/48/1153991.png,1
/bxgrid/50/1191011.png,1
/bxgrid/49/1180459.png,1
/bxgrid/49/1178365.png,1
/bxgrid/48/1154361.png,1
/bxgrid/50/1182426.png,1
/bxgrid/50/1182459.png,1
/bxgrid/49/1177340.png,1
/bxgrid/48/1160081.png,1
/bxgrid/50/1193928.png,1
/bxgrid/48/1153738.png,1
/bxgrid/50/1194896.png,1
/bxgrid/48/1158661.png,1
/bxgrid/49/1180536.png,1
/bxgrid/49/1178571.png,1
/bxgrid/49/1180146.png,1
/bxgrid/48/1156475.png,1
/bxgrid/50/1181571.png,1
/bxgrid/50/1191151.png,1
/bxgrid/48/1154721.png,1
/bxgrid/50/1191128.png,1
/bxgrid/48/1157533.png,1
/bxgrid/50/1190984.png,1
/bxgrid/48/1158688.png,1
/bxgrid/50/1182587.png,1
/bxgrid/50/1194700.png,1
/bxgrid/50/1194798.png,1
/bxgrid/49/1178387.png,1
/bxgrid/48/1155885.png,1
/bxgrid/49/1179604.png,1
/bxgrid/48/1154328.png,1
/bxgrid/50/1181708.png,1
/bxgrid/48/1158635.png,1
/bxgrid/50/1195436.png,1
/bxgrid/47/1149861.png,1
/bxgrid/49/1173976.png,1
/bxgrid/50/1182285.png,1
/bxgrid/49/1178644.png,1
/bxgrid/50/1193347.png,1
/bxgrid/50/1191185.png,1
/bxgrid/49/1180051.png,1
/bxgrid/48/1153878.png,1
/bxgrid/50/1195508.png,1
/bxgrid/47/1147863.png,1
/bxgrid/50/1195160.png,1
/bxgrid/50/1181575.png,1
/bxgrid/50/1194904.png,1
/bxgrid/49/1177697.png,1
/bxgrid/50/1183163.png,1
/bxgrid/17/517932.png,1
/bxgrid/49/1180385.png,1
/bxgrid/48/1153917.png,1
/bxgrid/50/1195490.png,1
/bxgrid/50/1181565.png,1
/bxgrid/50/1194390.png,1
/bxgrid/49/1177286.png,1
/bxgrid/17/513069.png,1
/bxgrid/50/1193151.png,1
/bxgrid/49/1178447.png,1
/bxgrid/49/1177553.png,1
/bxgrid/48/1159778.png,1
/bxgrid/19/555743.png,1
