gender,contacts,contacteye,contactcosmeticeye,file,subject_id,eye,contacts_brand,contacts_color,sensor,image_location,is_bona_fide
Female,No,Null,Null,190510_130_AD100/2019_130_001_Right_L2_0.png,75,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_001_Right_L2_0.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_001_Right_L1_1.png,75,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_001_Right_L1_1.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_001_Right_L2_3.png,75,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_001_Right_L2_3.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_001_Right_R1_2.png,75,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_001_Right_R1_2.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_001_Right_L2_4.png,75,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_001_Right_L2_4.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_001_Right_L1_0.png,75,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_001_Right_L1_0.png',True
Female,No,Null,Null,190430_120_AD100/2019_120_007_Right_L1_3.png,66,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_007_Right_L1_3.png',True
Female,No,Null,Null,190430_120_AD100/2019_120_007_Right_R1_3.png,66,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_007_Right_R1_3.png',True
Female,No,Null,Null,190430_120_AD100/2019_120_007_Right_R1_4.png,66,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_007_Right_R1_4.png',True
Female,No,Null,Null,190430_120_AD100/2019_120_007_Right_L2_3.png,66,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_007_Right_L2_3.png',True
Female,No,Null,Null,190430_120_AD100/2019_120_007_Right_R1_2.png,66,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_007_Right_R1_2.png',True
Female,No,Null,Null,190430_120_AD100/2019_120_007_Right_L2_1.png,66,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_007_Right_L2_1.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_003_Right_L1_0.png,85,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_003_Right_L1_0.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_003_Right_R1_1.png,85,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_003_Right_R1_1.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_003_Right_R1_2.png,85,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_003_Right_R1_2.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_003_Right_L2_2.png,85,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_003_Right_L2_2.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_003_Right_R1_4.png,85,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_003_Right_R1_4.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_003_Right_L2_0.png,85,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_003_Right_L2_0.png',True
Female,No,Null,Null,190426_116_AD100/2019_116_005_Right_R1_0.png,58,Right,none,none,AD100,'/ND3DIris/190426_116_AD100/2019_116_005_Right_R1_0.png',True
Female,No,Null,Null,190426_116_AD100/2019_116_005_Right_L1_3.png,58,Right,none,none,AD100,'/ND3DIris/190426_116_AD100/2019_116_005_Right_L1_3.png',True
Female,No,Null,Null,190426_116_AD100/2019_116_005_Right_R1_1.png,58,Right,none,none,AD100,'/ND3DIris/190426_116_AD100/2019_116_005_Right_R1_1.png',True
Female,No,Null,Null,190426_116_AD100/2019_116_005_Right_L1_4.png,58,Right,none,none,AD100,'/ND3DIris/190426_116_AD100/2019_116_005_Right_L1_4.png',True
Female,No,Null,Null,190426_116_AD100/2019_116_005_Right_R1_2.png,58,Right,none,none,AD100,'/ND3DIris/190426_116_AD100/2019_116_005_Right_R1_2.png',True
Female,No,Null,Null,190426_116_AD100/2019_116_005_Right_L2_3.png,58,Right,none,none,AD100,'/ND3DIris/190426_116_AD100/2019_116_005_Right_L2_3.png',True
Female,No,Null,Null,190424_114_AD100/2019_114_001_Right_R1_1.png,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_R1_1.png',True
Female,No,Null,Null,190424_114_AD100/2019_114_001_Right_L1_0.png,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L1_0.png',True
Female,No,Null,Null,190424_114_AD100/2019_114_001_Right_L1_2.png,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L1_2.png',True
Female,No,Null,Null,190424_114_AD100/2019_114_001_Right_L2_3.png,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L2_3.png',True
Female,No,Null,Null,190424_114_AD100/2019_114_001_Right_L1_3.png,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L1_3.png',True
Female,No,Null,Null,190424_114_AD100/2019_114_001_Right_R1_3.png,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_R1_3.png',True
Female,No,Null,Null,190423_113_AD100/2019_113_007_Right_L2_3.png,47,Right,none,none,AD100,'/ND3DIris/190423_113_AD100/2019_113_007_Right_L2_3.png',True
Female,No,Null,Null,190423_113_AD100/2019_113_007_Right_R1_1.png,47,Right,none,none,AD100,'/ND3DIris/190423_113_AD100/2019_113_007_Right_R1_1.png',True
Female,No,Null,Null,190423_113_AD100/2019_113_007_Right_R1_0.png,47,Right,none,none,AD100,'/ND3DIris/190423_113_AD100/2019_113_007_Right_R1_0.png',True
Female,No,Null,Null,190423_113_AD100/2019_113_007_Right_R1_4.png,47,Right,none,none,AD100,'/ND3DIris/190423_113_AD100/2019_113_007_Right_R1_4.png',True
Female,No,Null,Null,190423_113_AD100/2019_113_007_Right_L1_1.png,47,Right,none,none,AD100,'/ND3DIris/190423_113_AD100/2019_113_007_Right_L1_1.png',True
Female,No,Null,Null,190423_113_AD100/2019_113_007_Right_L2_0.png,47,Right,none,none,AD100,'/ND3DIris/190423_113_AD100/2019_113_007_Right_L2_0.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_007_Right_L1_4.png,78,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_007_Right_L1_4.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_007_Right_L1_3.png,78,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_007_Right_L1_3.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_007_Right_L2_0.png,78,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_007_Right_L2_0.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_007_Right_L2_4.png,78,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_007_Right_L2_4.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_007_Right_R1_0.png,78,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_007_Right_R1_0.png',True
Female,No,Null,Null,190510_130_AD100/2019_130_007_Right_L1_1.png,78,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_007_Right_L1_1.png',True
Female,No,Null,Null,190419_109_AD100/2019_109_001_Right_R1_2.png,33,Right,none,none,AD100,'/ND3DIris/190419_109_AD100/2019_109_001_Right_R1_2.png',True
Female,No,Null,Null,190419_109_AD100/2019_109_001_Right_L2_3.png,33,Right,none,none,AD100,'/ND3DIris/190419_109_AD100/2019_109_001_Right_L2_3.png',True
Female,No,Null,Null,190419_109_AD100/2019_109_001_Right_L2_1.png,33,Right,none,none,AD100,'/ND3DIris/190419_109_AD100/2019_109_001_Right_L2_1.png',True
Female,No,Null,Null,190419_109_AD100/2019_109_001_Right_L2_0.png,33,Right,none,none,AD100,'/ND3DIris/190419_109_AD100/2019_109_001_Right_L2_0.png',True
Female,No,Null,Null,190419_109_AD100/2019_109_001_Right_L2_2.png,33,Right,none,none,AD100,'/ND3DIris/190419_109_AD100/2019_109_001_Right_L2_2.png',True
Female,No,Null,Null,190419_109_AD100/2019_109_001_Right_R1_3.png,33,Right,none,none,AD100,'/ND3DIris/190419_109_AD100/2019_109_001_Right_R1_3.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_005_Right_L1_0.png,86,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_005_Right_L1_0.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_005_Right_L2_1.png,86,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_005_Right_L2_1.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_005_Right_L2_4.png,86,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_005_Right_L2_4.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_005_Right_R1_0.png,86,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_005_Right_R1_0.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_005_Right_L2_3.png,86,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_005_Right_L2_3.png',True
Female,No,Null,Null,190516_136_AD100/2019_136_005_Right_L1_3.png,86,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_005_Right_L1_3.png',True
Female,No,Null,Null,190418_108_AD100/2019_108_005_Right_L2_2.png,25,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_005_Right_L2_2.png',True
Female,No,Null,Null,190418_108_AD100/2019_108_005_Right_L2_1.png,25,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_005_Right_L2_1.png',True
Female,No,Null,Null,190418_108_AD100/2019_108_005_Right_L1_2.png,25,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_005_Right_L1_2.png',True
Female,No,Null,Null,190418_108_AD100/2019_108_005_Right_L1_3.png,25,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_005_Right_L1_3.png',True
Female,No,Null,Null,190418_108_AD100/2019_108_005_Right_R1_1.png,25,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_005_Right_R1_1.png',True
Female,No,Null,Null,190418_108_AD100/2019_108_005_Right_L1_1.png,25,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_005_Right_L1_1.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_001_Right_L1_4.png,72,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_001_Right_L1_4.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_001_Right_L2_0.png,72,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_001_Right_L2_0.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_001_Right_R1_0.png,72,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_001_Right_R1_0.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_001_Right_R1_4.png,72,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_001_Right_R1_4.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_001_Right_L2_4.png,72,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_001_Right_L2_4.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_001_Right_L2_3.png,72,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_001_Right_L2_3.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_007_Right_L1_0.png,74,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_007_Right_L1_0.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_007_Right_L1_1.png,74,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_007_Right_L1_1.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_007_Right_R1_4.png,74,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_007_Right_R1_4.png',True
Female,No,Null,Null,190509_129_AD100/2019_129_007_Right_R1_2.png,74,Right,none,none,AD100,'/ND3DIris/190509_129_AD100/2019_129_007_Right_R1_2.png',True
