gender,contacts,contacteye,contactcosmeticeye,subject_id,eye,contacts_brand,contacts_color,sensor,image_location,is_bona_fide
Female,No,Null,Null,67,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_009_Right_L2_2.png',True
Female,No,Null,Null,67,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_009_Right_R1_3.png',True
Female,No,Null,Null,67,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_009_Right_L2_3.png',True
Female,No,Null,Null,67,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_009_Right_L2_0.png',True
Female,No,Null,Null,67,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_009_Right_R1_1.png',True
Female,No,Null,Null,67,Right,none,none,AD100,'/ND3DIris/190430_120_AD100/2019_120_009_Right_R1_0.png',True
Female,No,Null,Null,79,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_009_Right_R1_3.png',True
Female,No,Null,Null,79,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_009_Right_L1_0.png',True
Female,No,Null,Null,79,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_009_Right_L1_1.png',True
Female,No,Null,Null,79,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_009_Right_R1_1.png',True
Female,No,Null,Null,79,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_009_Right_L1_3.png',True
Female,No,Null,Null,79,Right,none,none,AD100,'/ND3DIris/190510_130_AD100/2019_130_009_Right_L1_4.png',True
Female,No,Null,Null,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L1_2.png',True
Female,No,Null,Null,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L2_2.png',True
Female,No,Null,Null,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L1_4.png',True
Female,No,Null,Null,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L1_1.png',True
Female,No,Null,Null,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_R1_1.png',True
Female,No,Null,Null,49,Right,none,none,AD100,'/ND3DIris/190424_114_AD100/2019_114_001_Right_L2_3.png',True
Female,No,Null,Null,28,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_011_Right_L1_2.png',True
Female,No,Null,Null,28,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_011_Right_R1_1.png',True
Female,No,Null,Null,28,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_011_Right_L2_4.png',True
Female,No,Null,Null,28,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_011_Right_L2_3.png',True
Female,No,Null,Null,28,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_011_Right_L1_1.png',True
Female,No,Null,Null,28,Right,none,none,AD100,'/ND3DIris/190418_108_AD100/2019_108_011_Right_R1_4.png',True
Female,No,Null,Null,85,Right,none,none,AD100,'/ND3DIris/190516_136_AD100/2019_136_003_Right_R1_2.png',True
